WT	NEE	CH4	N2O	GHGs
-76	28.96666667	-0.004701067	31.98391429	60.94587989
-72	61.78333333	-0.0272	1.123885714	62.88001905
-25.07246377	68.41	0.0306	1.192	69.6326
				
				
				
				
				
				
				
				
				
				

											
											
											
											
											
											
											
