Climate	NEE_A	NEE_G	Climate	CH4_A	CH4_G	Climate	N2O_A	N2O_G
1	0.61	-0.58	1	37.16814159	34.14396209	2	0.7	0.216363636
1	0.02	-0.59	1	37.16814159	34.14396209	2	10.94	9.849976887
1	0.82	-0.63	1	37.16814159	34.14396209	2	14.18	0.205958369
1	0.44	-0.95	1	42.47787611	39.02167096	2	5.345454545	3.818181818
1	-0.072	-1.18	1	37.16814159	34.14396209	1	4.136363636	1.781818182
1	-0.005	-0.964	1	31.85840708	29.26625322	1	5.281818182	3.372727273
1	-0.345	-1.176	1	58.40707965	53.56557569	1	7	5.918181818
1	-0.357	-1.151	1	53.09734513	48.6959779	1	2.672727273	1.718181818
1	-0.237853636	-0.29154	1	58.40707965	53.56557569	2	0.13236974	0.129700699
1	-0.255466364	-0.326121818	1	53.09734513	48.6959779	2	-0.000659132	0.035372918
1	-0.471	-1.152	1	53.09734513	48.6959779	2	0.068516217	0.047163891
1	-0.797	-1.684	1	53.09734513	48.6959779	2	0.095353098	0.039303242
1	-0.185727273	-0.519545455	1	53.09734513	48.6959779	2	0.374568848	0.381241449
1	-0.188	-0.487	1	58.40707965	53.56557569	1	0.377098457	0.240545455
1	0.052	-0.071	1	47.78761062	43.82638011	1	0.485756884	0.309272727
1	0.006	-0.234	1	122.1238938	112.0996024	1	0.634314359	0.223363636
1	1.12	0.441	1	106.1946903	97.47791516	2	0.157492384	0.170192809
1	0.234	0.044	1	122.1238938	112.0996024	2	0.2391277	0.105925572
1	0.00101	0.0004	1	111.5044248	102.3518109	2	-0.332858031	-0.371978895
1	0.00023	0.00004	1	106.1946903	97.47791516	2	0.357216073	0.238962121
1	0.136	-0.084	1	111.5044248	102.3518109	2	-0.151488206	-0.243997556
1	0.59	-0.825573123	1	111.5044248	102.3518109	2	0.26972693	0.148393047
1	9.5	7.3	1	122.1238938	112.0996024	2	0.924	0.530348234
1	4	1.3	1	111.5044248	102.3518109	2	0.719090909	0.353243617
1	7.5	5.3	1	4.902761557	5.227284587	2	0.832363636	0.590994604
1	8.8	6.8	1	1.752313132	-0.230952413	2	0.924365607	0.841586598
1	0.012	-0.572267583	1	1.124178926	-0.036015628	2	1.17730147	1.025539952
1	-0.612	-1.006516487	1	17.49062474	5.018917189	2	1.76940133	1.272727273
1	-0.204	-0.789059726	1	170.4	150	2	2.891516794	2.408639238
1	1.224	0.293308275	1	240	219.6	2	4.499958939	3.037529769
1	0.792	0.288537538	1	360	300	2	2.81397793	2.666809811
1	-0.324	-0.869591411	1	130.8	110.4	2	1.489753022	1.126846332
1	1.368	0.455405059	1	117.75	87.81355932	2	1.048344719	0.702991786
1	0.312	-0.095722059	1	122.25	90.18442623	2	3.807146611	0.854735132
1	0.372	-0.285031359	1	99	221.5496536	2	7.007356805	1.32964193
1	0.021	-0.572	1	181.5	408.3083141	2	13.35260116	5.835166357
1	-0.541	-0.932	1	480	428.0009849	1	0.28	1.4175
1	-1.268181818	-1.483068182	1	70	37.1	1	2.905	2.975
1	0.861872727	-0.627709091	1	60	24.6	1	3.3425	2.765
1	-1.64	-1.75	1	140	96.6	1	-2.2925	-1.784013158
1	-2.47	-2.69	1	130	92.3	1	4.55175	1.920059735
1	0.23	-0.61	1	150	109.5	1	3.6925	10.523625
1	-1.27	-2.21	1	170	156.4	1	2.555	3.4125
1	0.72	-0.41	1	150	140	1	8.715	4.585
1	-0.81	-1.15	1	30	20	1	3.4475	2.7825
1	-0.36	-0.84	1	80	70	1	0.123754909	0.008724721
1	-0.76	-1.13	1	30	20	2	0.585454545	0.532829418
1	-0.59	-1.06	1	794.1436257	371.25	2	0.413636364	0.324015152
1	-0.52	-0.88	1	707.5503031	317.25	1	1.906494545	0.997096647
1	-1.448275862	-3.5	1	189.7792986	121.5	1	0.668181818	0.551090909
1	-2.689655172	-2.69	1	228	160.0060269	1	0.421272727	0.355090909
1	-1.75862069	-3.23	1	252	145.0134	1	0.426363636	0.344909091
1	-1.689655172	-3.35	1	252	155.2924781	1	0.412363636	0.344272727
1	-2.206896552	-2.87	1	336	235.7983554	2	1.480754545	1.212718182
2	1.106	0.495	1	288	165.7296	2	0.162972727	0.081581818
2	1.027	0.383	1	288	177.4771178	2	0.551981818	0.198990909
2	2.678	1.805	1	252	176.8487665	2	0.7553	0.690963636
2	6.3	4.080709091	1	300	172.635	1	0.27718	0.24396
2	5.7	3.614581984	1	276	170.0822379	1	-0.024512727	-0.042216364
2	4.9	3.866909509	1	77	71	1	-0.352710909	-0.386756364
2	3	1.547705655	1	65	50	1	-0.034045455	-0.115754545
2	3.9	2.291216324	1	216.675	141.5971125	1	0.355434545	0.326836364
2	3.2	1.80207232	1	325.65	211.95	1	0.330921818	0.418078182
2	-0.63	-0.92	1	258.93	234.59			
2	-0.73	-1.04	1	492.71	475.72			
2	-0.28	-0.76	1	430.34	432.01			
2	2.66	-0.32	1	64.5	60.58			
2	4.51	0.66	1	58.22	56.47			
2	4.61	1.02	1	8.08	9.03			
2	7.6	3.73	1	2.66	2.227691424			
2	1.63	-0.36	1	3.39	2.835330093			
2	4.08	1.7	1	0.2	0.178834197			
2	6.51	2.43	1	4.8618	2.75518206			
2	6.03	2.76	1	-1.40598	-0.6186312			
2	-0.55	-0.88	1	129.4322969	129.0742509			
2	-0.78	-1.07	1	157.9214755	142.8599			
2	-1.3	-1.468235294	1	41.10221228	35.3852983			
2	-3	-3.356707317	1	2.685628284	1.575			
2	-0.53	-0.981869301	1	35.475	33.70125			
2	-0.73	-1.693974359	1	0.5025	0.4824			
2	-0.512727273	-0.928746929	1	9.3	5.301			
2	1.022747492	-0.059066654	1	66.225	60.26475			
2	-0.6433344	-1.233006972	1	45	40.95			
2	-0.94608	-1.562635302	1	15.75	14.9625			
2	-0.94608	-1.60510946	1	58.181976	56.052			
2	-0.68304384	-1.266046419	1	73.98864	71.28			
2	-1.0217664	-1.578280817	1	9.6521544	9.2988			
2	-0.7947072	-1.417662184	1	15.1676712	14.6124			
2	-0.059485676	-0.06050079	1	4.1702688	4.0176			
2	-0.068520189	-0.066591473	1	10.8965088	10.4976			
2	-2.65981241	-3.186507937	1	26.25	21			
2	-1.501082251	-2.554473304	1	492.75	439			
2	-0.602043796	-1.185873606	1	323.25	310			
2	-0.33810219	-0.8133829	1	103.5	87.99999998			
2	-0.022773723	-0.730855019	1	-0.0384	-0.03084			
2	-0.190948905	-0.788847584	1	-0.02865	-0.02361			
2	-0.14189781	-0.791078067	1	15.042	14.538			
2	-1.115912409	-1.368773234	1	96.36846169	75			
2	-0.678	-0.74810733	1	157.3859334	135			
2	-0.758	-0.829894614	1	256.539325	232.5			
2	-0.792	-0.946645598	1	241.2849571	217.5			
2	-0.323	-0.523156915	1	111.6228296	90			
2	-0.321	-0.601660428	1	119.2500136	97.5			
2	-0.574	-0.766814241	1	180.2674854	157.5			
2	-0.593	-0.827878012	1	20.8593404	0.75			
2	-0.429	-0.642620902	1	134.5043815	112.5			
2	-0.542	-0.797944444	1	226.0305892	202.5			
2	-1.462123636	-1.659707912	1	256.539325	232.5			
2	-3.956334545	-4.038758182	1	264.166509	240			
2	-0.258021818	-2.639761678	1	157.3859334	135			
2	-2.200010031	-2.389320751	1	218.4034052	195			
2	-1.60005159	-1.849004459	1	325.1839808	300			
2	-2.450018988	-2.403249538	1	20.8593404	0.75			
2	-5.584	-5.818	1	172.6403014	150			
2	-12.9	-14.41	1	27.72380597	7.5			
2	-2.596858639	-3.380815964	1	180.2674854	157.5			
2	-0.766592942	-1.127735293	1	33.82555315	13.5			
2	-0.676363636	-1.112727273	1	3.197016838	1.356			
2	1.35	1.565217391	1	3.959367819	1.668			
2	2.102727273	0.968181818	1	2.991768497	1.272			
2	0.790909091	-0.007009091	1	3.900725436	1.644			
2	-6	-6.794734203	1	6.305063146	2.628			
2	-2.18	-2.97480958	1	6.686238637	2.784			
2	-2.29	-3.053333333	1	8.76804324	3.636			
2	-2.62	-3.626159696	1	10.02885448	4.152			
2	-2.84	-3.508235294	1	13.0782584	5.4			
2	-1.26	-2.106412214	1	197.85	150.075			
2	0.792102217	0.73217185	1	38.625	15.525			
2	-0.917490638	-0.784487972	1	176.3793104	165			
2	-2.048698099	-1.737728405	1	435.872093	382.5			
2	0.532521615	0.475482353	1	293.4782609	225			
2	-4.46	-5.43	1	1573.965518	1530			
2	-3.11	-3.27	1	296.505	247.5			
2	-2.32	-2.83	1	465	435			
2	-8.65095054	-9.411877053	1	367.5	322.5			
2	-6.617962958	-7.408193992	1	225	172.5			
2	-0.822615474	-2.050399546	1	1342.5	1305			
2	-3.511790332	-5.019266352	1	472.5	435			
2	-1.79	-1.673780522	1	320.6896552	300			
2	0.445143389	0.33832143	1	225	172.5			
2	0.498820674	0.322286013	1	594.0948276	577.5			
2	-2.874198393	-3.093675934	1	600	480			
2	-0.242520676	-0.469676082	1	62.64762708	41.25			
2	-1.532251289	-2.026887066	1	49.27028959	32.25			
2	0.694736842	-2.292631579	1	18	16.02			
2	-3.3776	-4.142719879	1	25	22			
2	-4.9875	-5.157473582	1	13	13			
2	1.23516	-0.180018	1	105	89.25			
2	-4.017190909	-4.44005311	1	180	149.4			
2	-6.264109091	-6.912120376	1	141	118.44			
2	-5.260009091	-5.698343182	1	143	102.96			
2	-6.684463636	-7.002771429	1	189	117.18			
2	-0.65	-4.0625	1	236	174.64			
2	-0.366818182	-1.021090909	1	185	155.4			
