FID,OBJECTID,NAME,FENAME,SOC,AREA
228,229,BRITISH INDIAN OCEAN TERRITORY,British Indian Ocean Territory,IOT,54.23133212
229,230,TAJIKISTAN,Republic of Tajikistan,TJK,142015.6373
230,231,SAUDI ARABIA,Kingdom of Saudi Arabia,SAU,1959682.312
231,232,MYANMAR,Union of Myanmar,MMR,667624.9029
232,233,JAPAN,Japan,JPN,373658.7702
233,234,"KOREA, REPUBLIC OF",Republic of Korea,KOR,99085.68231
234,235,UNITED ARAB EMIRATES,United Arab Emirates,ARE,70904.43078
235,236,MALAYSIA,Malaysia,MYS,329720.9525
236,237,INDIA,Republic of Indonesia,IND,3083902.029
237,238,INDONESIA,Republic of Indonesia,IDN,1888768.337
238,239,PHILIPPINES,Republic of Philippines,PHL,296016.5928
239,240,OMAN,Sultanate of Oman,OMN,307991.0205
240,241,THAILAND,Kingdom of Thailand,THA,515106.6705
241,242,UZBEKISTAN,Republic of Uzbekistan,UZB,455531.155
242,243,TURKEY,Republic of Turkey,TUR,781145.4877
243,244,"KOREA,DEMOCRATIC PEOPLE'S REPUBLIC OF",Democratic People,PRK,122270.7747
244,245,NONE,None, ,362.2681903
245,246,VIET NAM,Socialist Republic of Viet Nam,VNM,327578.2769
246,247,CHINA,Peoples Republic of China,CHN,9506121.662
